estate,dedicated_path_m_within_800m,pcn_continuous_m,bike_parks_at_mrt,provenance_note
WOODLANDS,,3459,,pcn_continuous_m measured from NParks Park Connector Loop (data.gov.sg d_a69ef89737379f231d2ae93fd1c5707f) within 800m of the estate centroid; dedicated_path_m_within_800m unmeasured (OneMap cyclingpath returns a representative point for most features; LTA DataMall needs an account key); bike_parks_at_mrt unmeasured (OneMap bicyclerack returns no results)
PASIR RIS,,2080,,pcn_continuous_m measured from NParks Park Connector Loop (data.gov.sg d_a69ef89737379f231d2ae93fd1c5707f) within 800m of the estate centroid; dedicated_path_m_within_800m unmeasured (OneMap cyclingpath returns a representative point for most features; LTA DataMall needs an account key); bike_parks_at_mrt unmeasured (OneMap bicyclerack returns no results)
JURONG EAST,,2948,,pcn_continuous_m measured from NParks Park Connector Loop (data.gov.sg d_a69ef89737379f231d2ae93fd1c5707f) within 800m of the estate centroid; dedicated_path_m_within_800m unmeasured (OneMap cyclingpath returns a representative point for most features; LTA DataMall needs an account key); bike_parks_at_mrt unmeasured (OneMap bicyclerack returns no results)
BISHAN,,2846,,pcn_continuous_m measured from NParks Park Connector Loop (data.gov.sg d_a69ef89737379f231d2ae93fd1c5707f) within 800m of the estate centroid; dedicated_path_m_within_800m unmeasured (OneMap cyclingpath returns a representative point for most features; LTA DataMall needs an account key); bike_parks_at_mrt unmeasured (OneMap bicyclerack returns no results)
BEDOK,,1926,,pcn_continuous_m measured from NParks Park Connector Loop (data.gov.sg d_a69ef89737379f231d2ae93fd1c5707f) within 800m of the estate centroid; dedicated_path_m_within_800m unmeasured (OneMap cyclingpath returns a representative point for most features; LTA DataMall needs an account key); bike_parks_at_mrt unmeasured (OneMap bicyclerack returns no results)
TAMPINES,,2219,,pcn_continuous_m measured from NParks Park Connector Loop (data.gov.sg d_a69ef89737379f231d2ae93fd1c5707f) within 800m of the estate centroid; dedicated_path_m_within_800m unmeasured (OneMap cyclingpath returns a representative point for most features; LTA DataMall needs an account key); bike_parks_at_mrt unmeasured (OneMap bicyclerack returns no results)
TOA PAYOH,,1523,,pcn_continuous_m measured from NParks Park Connector Loop (data.gov.sg d_a69ef89737379f231d2ae93fd1c5707f) within 800m of the estate centroid; dedicated_path_m_within_800m unmeasured (OneMap cyclingpath returns a representative point for most features; LTA DataMall needs an account key); bike_parks_at_mrt unmeasured (OneMap bicyclerack returns no results)
QUEENSTOWN,,1212,,pcn_continuous_m measured from NParks Park Connector Loop (data.gov.sg d_a69ef89737379f231d2ae93fd1c5707f) within 800m of the estate centroid; dedicated_path_m_within_800m unmeasured (OneMap cyclingpath returns a representative point for most features; LTA DataMall needs an account key); bike_parks_at_mrt unmeasured (OneMap bicyclerack returns no results)
SERANGOON,,0,,pcn_continuous_m measured from NParks Park Connector Loop (data.gov.sg d_a69ef89737379f231d2ae93fd1c5707f) within 800m of the estate centroid; dedicated_path_m_within_800m unmeasured (OneMap cyclingpath returns a representative point for most features; LTA DataMall needs an account key); bike_parks_at_mrt unmeasured (OneMap bicyclerack returns no results)
SEMBAWANG,,2144,,pcn_continuous_m measured from NParks Park Connector Loop (data.gov.sg d_a69ef89737379f231d2ae93fd1c5707f) within 800m of the estate centroid; dedicated_path_m_within_800m unmeasured (OneMap cyclingpath returns a representative point for most features; LTA DataMall needs an account key); bike_parks_at_mrt unmeasured (OneMap bicyclerack returns no results)
MARINE PARADE,,2195,,pcn_continuous_m measured from NParks Park Connector Loop (data.gov.sg d_a69ef89737379f231d2ae93fd1c5707f) within 800m of the estate centroid; dedicated_path_m_within_800m unmeasured (OneMap cyclingpath returns a representative point for most features; LTA DataMall needs an account key); bike_parks_at_mrt unmeasured (OneMap bicyclerack returns no results)
